KIR00001 KIR2DL1*001
KIR00158 KIR3DL1*034
KIR00159 KIR3DL1*035
KIR00162 KIR3DL1*036
KIR00163 KIR3DL1*037
KIR00169 KIR3DL1*038
KIR00170 KIR3DL1*039
KIR00171 KIR3DL1*040
KIR00172 KIR3DL1*041
KIR00173 KIR3DL1*042
KIR00174 KIR3DL1*043
KIR00161 KIR3DL1*044
KIR00250 KIR3DL1*056
KIR00251 KIR3DL1*057
KIR00065 KIR3DL2*00101
KIR00066 KIR3DL2*002
KIR00067 KIR3DL2*00301
KIR00068 KIR3DL2*004
KIR00069 KIR3DL2*005
KIR00070 KIR3DL2*006
KIR00071 KIR3DL2*0070101
KIR00295 KIR3DL2*0070102
KIR00072 KIR3DL2*008
KIR00073 KIR3DL2*00901
KIR00134 KIR3DL2*00902
KIR00074 KIR3DL2*010
KIR00075 KIR3DL2*011
KIR00076 KIR3DL2*012
KIR00107 KIR3DL2*013
KIR00135 KIR3DL2*014
KIR00136 KIR3DL2*015
KIR00137 KIR3DL2*016
KIR00204 KIR3DL2*017
KIR00205 KIR3DL2*018
KIR00206 KIR3DL2*019
KIR00207 KIR3DL2*020
KIR00210 KIR3DL2*021
KIR00077 KIR3DL3*00101
KIR00222 KIR3DL3*00102
KIR00224 KIR3DL3*00103
KIR00078 KIR3DL3*00201
KIR00079 KIR3DL3*00202
KIR00180 KIR3DL3*00203
KIR00178 KIR3DL3*00204
KIR00198 KIR3DL3*00205
KIR00218 KIR3DL3*00206
KIR00230 KIR3DL3*00207
KIR00080 KIR3DL3*0030101
KIR00303 KIR3DL3*0030102
KIR00081 KIR3DL3*00401
KIR00138 KIR3DL3*00402
KIR00139 KIR3DL3*005
KIR00140 KIR3DL3*00601
KIR00191 KIR3DL3*00602
KIR00141 KIR3DL3*007
KIR00142 KIR3DL3*00801
KIR00143 KIR3DL3*00802
KIR00175 KIR3DL3*00901
KIR00223 KIR3DL3*00902
KIR00181 KIR3DL3*010
KIR00182 KIR3DL3*01101
KIR00188 KIR3DL3*01102
KIR00179 KIR3DL3*012
KIR00176 KIR3DL3*01301
KIR00183 KIR3DL3*01302
KIR00184 KIR3DL3*01303
KIR00185 KIR3DL3*01304
KIR00221 KIR3DL3*01305
KIR00231 KIR3DL3*01306
KIR00225 KIR3DL3*01307
KIR00177 KIR3DL3*01401
KIR00186 KIR3DL3*01402
KIR00187 KIR3DL3*01403
KIR00228 KIR3DL3*01404
KIR00234 KIR3DL3*01405
KIR00189 KIR3DL3*015
KIR00190 KIR3DL3*016
KIR00192 KIR3DL3*017
KIR00193 KIR3DL3*018
KIR00194 KIR3DL3*019
KIR00195 KIR3DL3*020
KIR00196 KIR3DL3*021
KIR00197 KIR3DL3*022
KIR00216 KIR3DL3*023
KIR00215 KIR3DL3*024
KIR00217 KIR3DL3*025
KIR00219 KIR3DL3*026
KIR00220 KIR3DL3*027
KIR00226 KIR3DL3*028
KIR00227 KIR3DL3*029
KIR00229 KIR3DL3*030
KIR00235 KIR3DL3*031
KIR00087 KIR3DP1*001
KIR00093 KIR3DP1*002
KIR00088 KIR3DP1*00301
KIR00094 KIR3DP1*00302
KIR00091 KIR3DP1*004
KIR00268 KIR3DP1*005
KIR00269 KIR3DP1*006
KIR00082 KIR3DS1*010
KIR00083 KIR3DS1*011
KIR00084 KIR3DS1*012
KIR00085 KIR3DS1*01301
KIR00164 KIR3DS1*01302
KIR00086 KIR3DS1*014
KIR00165 KIR3DS1*045
KIR00166 KIR3DS1*046
KIR00167 KIR3DS1*047
KIR00168 KIR3DS1*048
KIR00146 KIR3DS1*049N
KIR00243 KIR3DS1*055
